initial_mass,final_mass,strain,env,adult,comments
0.000922,0.000739,r,p,NA,final mass lower
0.000881,NA,r,p,NA,died
0.0009805,0.0005865,r,p,NA,final mass lower
0.001386,0.001323,r,p,NA,final mass lower
0.000598,0.00069,r,p,NA,NA
0.00055,NA,s,p,NA,died
0.001135,0.001238,s,p,NA,NA
0.001534,NA,r,p,NA,pupated
0.001159,0.001143,r,p,NA,final mass lower
0.0007525,NA,r,p,NA,died
0.001078,0.0007045,r,u,NA,final mass lower
0.0011955,0.0011675,r,u,NA,final mass lower
0.0004055,0.0008155,r,u,NA,NA
0.0004885,NA,r,u,NA,died
0.0003575,NA,r,u,NA,died
0.000496,NA,r,u,NA,died
0.0003145,0.0006805,r,u,NA,NA
0.0003585,0.000736,r,u,NA,NA
0.000659,0.0009925,r,u,NA,NA
0.0004125,NA,r,u,NA,died
0.0002535,NA,r,u,NA,died
0.0002495,0.000568,r,u,NA,NA
0.0004575,0.000987,r,u,NA,NA
0.0004685,0.000531,r,u,NA,NA
0.0007195,0.0012505,r,u,NA,NA
0.000424,0.000898,r,u,NA,NA
0.0005745,0.0007435,r,u,NA,NA
0.0004405,0.0003575,r,u,NA,final mass lower
0.000385,NA,r,u,NA,died
0.000396,0.0004555,r,u,NA,NA
0.0004395,0.0003935,r,u,NA,final mass lower
0.000372,0.000606,r,u,NA,NA
0.0006895,0.000846,s,p,NA,NA
0.000216,0.000162,r,p,NA,final mass lower
0.00056,0.000827,r,p,NA,NA
0.0003405,NA,s,p,NA,died
0.0003785,0.0007895,s,p,NA,NA
0.0005555,0.0008305,s,p,NA,NA
0.000291,0.000378,s,p,NA,NA
0.00071,0.0011085,s,p,NA,NA
0.000262,0.0002235,s,p,NA,final mass lower
0.000735,0.001088,s,p,NA,NA
0.000288,NA,s,p,NA,died
0.0003005,0.0004435,s,p,NA,NA
0.000594,0.0008035,s,p,NA,NA
0.0009515,0.0012685,s,p,NA,NA
0.0005205,0.0009225,s,p,NA,NA
0.000707,0.001334,s,u,NA,NA
0.000805,0.0012965,s,u,NA,NA
0.000942,0.0010465,r,p,NA,NA
0.0007395,0.0012165,s,p,NA,NA
0.0003255,0.0006255,s,p,NA,NA
0.0002645,0.0003555,s,p,NA,NA
0.000574,0.0007895,r,p,NA,NA
0.0002865,0.000466,r,p,NA,NA
0.0002925,0.000368,r,p,NA,NA
0.000452,0.0005815,r,p,NA,NA
0.000375,0.000427,r,p,NA,NA
0.0006665,0.000748,r,p,NA,NA
0.0006825,0.0008405,r,p,NA,NA
0.000664,NA,r,p,NA,died
0.000909,NA,r,p,NA,died
0.0010155,0.0009405,r,p,NA,final mass lower
0.0006215,0.000798,r,p,NA,NA
0.000266,NA,r,p,NA,died
0.000252,0.000422,r,p,NA,NA
0.0009155,0.0004835,r,p,NA,final mass lower
0.0010315,0.000507,r,p,NA,died
0.0009565,0.000999,r,p,NA,NA
0.000622,0.00106,r,p,NA,NA
0.0007795,0.0008585,r,p,NA,NA
0.0009825,NA,r,u,NA,died
0.0010095,0.0011785,r,u,NA,NA
0.000814,0.0011375,r,u,NA,NA
0.0010955,0.0011895,r,u,NA,NA
0.0007925,0.0010385,r,u,NA,NA
0.0008405,0.0010515,r,u,NA,NA
0.0010865,0.0014055,r,u,NA,NA
